+------------------------------------------------------------------------------+
|                                                                              |
| Atomistix ToolKit 2017.1 [Build ce08f12339]                                  |
|                                                                              |
+------------------------------------------------------------------------------+
+----------------------------------------------------------+
| Bulk Bravais lattice                                     |
+----------------------------------------------------------+
Type:
Hexagonal

Lattice constants:
a =   118.137600 Ang
b =   118.137600 Ang
c =     6.709000 Ang

Lattice angles:
alpha =    90.000000 deg
beta  =    90.000000 deg
gamma =   120.000000 deg

Primitive vectors:
u_1 =     59.068800   -102.310163      0.000000 Ang
u_2 =     59.068800    102.310163      0.000000 Ang
u_3 =      0.000000      0.000000      6.709000 Ang

+----------------------------------------------------------+
| Bulk: Cartesian (Angstrom) / fractional                  |
+----------------------------------------------------------+
4608
Bulk
C     6.153000e-01 -3.552507e-01  3.354500e+00    0.00694  0.00347  0.50000
C     6.460650e+01  6.216764e+01  3.354500e+00    0.24306  0.85069  0.50000
C     6.460650e+01  6.358860e+01  3.354500e+00    0.23611  0.85764  0.50000
C     6.583710e+01  6.429910e+01  3.354500e+00    0.24306  0.87153  0.50000
C     6.583710e+01  6.572006e+01  3.354500e+00    0.23611  0.87847  0.50000
C     6.706770e+01  6.643056e+01  3.354500e+00    0.24306  0.89236  0.50000
C     6.706770e+01  6.785152e+01  3.354500e+00    0.23611  0.89931  0.50000
C     6.829830e+01  6.856203e+01  3.354500e+00    0.24306  0.91319  0.50000
C     6.829830e+01  6.998299e+01  3.354500e+00    0.23611  0.92014  0.50000
C     6.952890e+01  7.069349e+01  3.354500e+00    0.24306  0.93403  0.50000
C     6.952890e+01  7.211445e+01  3.354500e+00    0.23611  0.94097  0.50000
C     7.075950e+01  7.282495e+01  3.354500e+00    0.24306  0.95486  0.50000
C     7.075950e+01  7.424591e+01  3.354500e+00    0.23611  0.96181  0.50000
C     7.199010e+01  7.495641e+01  3.354500e+00    0.24306  0.97569  0.50000
C     7.199010e+01  7.637737e+01  3.354500e+00    0.23611  0.98264  0.50000
C     7.322070e+01  7.708787e+01  3.354500e+00    0.24306  0.99653  0.50000
C     1.538250e+01 -2.593279e+01  3.354500e+00    0.25694  0.00347  0.50000
C     1.661310e+01 -2.522229e+01  3.354500e+00    0.26389  0.01736  0.50000
C     1.661310e+01 -2.380133e+01  3.354500e+00    0.25694  0.02431  0.50000
C     1.784370e+01 -2.309083e+01  3.354500e+00    0.26389  0.03819  0.50000
C     1.784370e+01 -2.166987e+01  3.354500e+00    0.25694  0.04514  0.50000
C     1.907430e+01 -2.095937e+01  3.354500e+00    0.26389  0.05903  0.50000
C     1.907430e+01 -1.953841e+01  3.354500e+00    0.25694  0.06597  0.50000
C     2.030490e+01 -1.882790e+01  3.354500e+00    0.26389  0.07986  0.50000
C     2.030490e+01 -1.740694e+01  3.354500e+00    0.25694  0.08681  0.50000
C     2.153550e+01 -1.669644e+01  3.354500e+00    0.26389  0.10069  0.50000
C     2.153550e+01 -1.527548e+01  3.354500e+00    0.25694  0.10764  0.50000
C     2.276610e+01 -1.456498e+01  3.354500e+00    0.26389  0.12153  0.50000
C     2.276610e+01 -1.314402e+01  3.354500e+00    0.25694  0.12847  0.50000
C     2.399670e+01 -1.243352e+01  3.354500e+00    0.26389  0.14236  0.50000
C     2.399670e+01 -1.101256e+01  3.354500e+00    0.25694  0.14931  0.50000
C     2.522730e+01 -1.030206e+01  3.354500e+00    0.26389  0.16319  0.50000
C     2.522730e+01 -8.881098e+00  3.354500e+00    0.25694  0.17014  0.50000
C     2.645790e+01 -8.170596e+00  3.354500e+00    0.26389  0.18403  0.50000
C     2.645790e+01 -6.749636e+00  3.354500e+00    0.25694  0.19097  0.50000
C     2.768850e+01 -6.039134e+00  3.354500e+00    0.26389  0.20486  0.50000
C     2.768850e+01 -4.618174e+00  3.354500e+00    0.25694  0.21181  0.50000
C     2.891910e+01 -3.907673e+00  3.354500e+00    0.26389  0.22569  0.50000
C     2.891910e+01 -2.486712e+00  3.354500e+00    0.25694  0.23264  0.50000
C     3.014970e+01 -1.776211e+00  3.354500e+00    0.26389  0.24653  0.50000
C     3.014970e+01 -3.552507e-01  3.354500e+00    0.25694  0.25347  0.50000
C     3.138030e+01  3.552507e-01  3.354500e+00    0.26389  0.26736  0.50000
C     3.138030e+01  1.776211e+00  3.354500e+00    0.25694  0.27431  0.50000
C     3.261090e+01  2.486712e+00  3.354500e+00    0.26389  0.28819  0.50000
C     3.261090e+01  3.907673e+00  3.354500e+00    0.25694  0.29514  0.50000
C     3.384150e+01  4.618174e+00  3.354500e+00    0.26389  0.30903  0.50000
C     3.384150e+01  6.039134e+00  3.354500e+00    0.25694  0.31597  0.50000
C     3.507210e+01  6.749636e+00  3.354500e+00    0.26389  0.32986  0.50000
C     3.507210e+01  8.170596e+00  3.354500e+00    0.25694  0.33681  0.50000
C     3.630270e+01  8.881098e+00  3.354500e+00    0.26389  0.35069  0.50000
C     3.630270e+01  1.030206e+01  3.354500e+00    0.25694  0.35764  0.50000
C     3.753330e+01  1.101256e+01  3.354500e+00    0.26389  0.37153  0.50000
C     3.753330e+01  1.243352e+01  3.354500e+00    0.25694  0.37847  0.50000
C     3.876390e+01  1.314402e+01  3.354500e+00    0.26389  0.39236  0.50000
C     3.876390e+01  1.456498e+01  3.354500e+00    0.25694  0.39931  0.50000
C     3.999450e+01  1.527548e+01  3.354500e+00    0.26389  0.41319  0.50000
C     3.999450e+01  1.669644e+01  3.354500e+00    0.25694  0.42014  0.50000
C     4.122510e+01  1.740694e+01  3.354500e+00    0.26389  0.43403  0.50000
C     4.122510e+01  1.882790e+01  3.354500e+00    0.25694  0.44097  0.50000
C     4.245570e+01  1.953841e+01  3.354500e+00    0.26389  0.45486  0.50000
C     4.245570e+01  2.095937e+01  3.354500e+00    0.25694  0.46181  0.50000
C     4.368630e+01  2.166987e+01  3.354500e+00    0.26389  0.47569  0.50000
C     4.368630e+01  2.309083e+01  3.354500e+00    0.25694  0.48264  0.50000
C     4.491690e+01  2.380133e+01  3.354500e+00    0.26389  0.49653  0.50000
C     4.491690e+01  2.522229e+01  3.354500e+00    0.25694  0.50347  0.50000
C     4.614750e+01  2.593279e+01  3.354500e+00    0.26389  0.51736  0.50000
C     4.614750e+01  2.735375e+01  3.354500e+00    0.25694  0.52431  0.50000
C     4.737810e+01  2.806425e+01  3.354500e+00    0.26389  0.53819  0.50000
C     4.737810e+01  2.948521e+01  3.354500e+00    0.25694  0.54514  0.50000
C     4.860870e+01  3.019571e+01  3.354500e+00    0.26389  0.55903  0.50000
C     4.860870e+01  3.161668e+01  3.354500e+00    0.25694  0.56597  0.50000
C     4.983930e+01  3.232718e+01  3.354500e+00    0.26389  0.57986  0.50000
C     4.983930e+01  3.374814e+01  3.354500e+00    0.25694  0.58681  0.50000
C     5.106990e+01  3.445864e+01  3.354500e+00    0.26389  0.60069  0.50000
C     5.106990e+01  3.587960e+01  3.354500e+00    0.25694  0.60764  0.50000
C     5.230050e+01  3.659010e+01  3.354500e+00    0.26389  0.62153  0.50000
C     5.230050e+01  3.801106e+01  3.354500e+00    0.25694  0.62847  0.50000
C     5.353110e+01  3.872156e+01  3.354500e+00    0.26389  0.64236  0.50000
C     5.353110e+01  4.014252e+01  3.354500e+00    0.25694  0.64931  0.50000
C     5.476170e+01  4.085302e+01  3.354500e+00    0.26389  0.66319  0.50000
C     5.476170e+01  4.227398e+01  3.354500e+00    0.25694  0.67014  0.50000
C     5.599230e+01  4.298449e+01  3.354500e+00    0.26389  0.68403  0.50000
C     5.599230e+01  4.440545e+01  3.354500e+00    0.25694  0.69097  0.50000
C     5.722290e+01  4.511595e+01  3.354500e+00    0.26389  0.70486  0.50000
C     5.722290e+01  4.653691e+01  3.354500e+00    0.25694  0.71181  0.50000
C     5.845350e+01  4.724741e+01  3.354500e+00    0.26389  0.72569  0.50000
C     5.845350e+01  4.866837e+01  3.354500e+00    0.25694  0.73264  0.50000
C     5.968410e+01  4.937887e+01  3.354500e+00    0.26389  0.74653  0.50000
C     5.968410e+01  5.079983e+01  3.354500e+00    0.25694  0.75347  0.50000
C     6.091470e+01  5.151033e+01  3.354500e+00    0.26389  0.76736  0.50000
C     6.091470e+01  5.293129e+01  3.354500e+00    0.25694  0.77431  0.50000
C     6.214530e+01  5.364179e+01  3.354500e+00    0.26389  0.78819  0.50000
C     6.214530e+01  5.506275e+01  3.354500e+00    0.25694  0.79514  0.50000
C     6.337590e+01  5.577326e+01  3.354500e+00    0.26389  0.80903  0.50000
C     6.337590e+01  5.719422e+01  3.354500e+00    0.25694  0.81597  0.50000
C     6.460650e+01  5.790472e+01  3.354500e+00    0.26389  0.82986  0.50000
C     6.460650e+01  5.932568e+01  3.354500e+00    0.25694  0.83681  0.50000
C     6.583710e+01  6.003618e+01  3.354500e+00    0.26389  0.85069  0.50000
C     6.583710e+01  6.145714e+01  3.354500e+00    0.25694  0.85764  0.50000
C     6.706770e+01  6.216764e+01  3.354500e+00    0.26389  0.87153  0.50000
C     6.706770e+01  6.358860e+01  3.354500e+00    0.25694  0.87847  0.50000
C     6.829830e+01  6.429910e+01  3.354500e+00    0.26389  0.89236  0.50000
C     6.829830e+01  6.572006e+01  3.354500e+00    0.25694  0.89931  0.50000
C     6.952890e+01  6.643056e+01  3.354500e+00    0.26389  0.91319  0.50000
C     6.952890e+01  6.785152e+01  3.354500e+00    0.25694  0.92014  0.50000
C     7.075950e+01  6.856203e+01  3.354500e+00    0.26389  0.93403  0.50000
C     7.075950e+01  6.998299e+01  3.354500e+00    0.25694  0.94097  0.50000
C     7.199010e+01  7.069349e+01  3.354500e+00    0.26389  0.95486  0.50000
C     7.199010e+01  7.211445e+01  3.354500e+00    0.25694  0.96181  0.50000
C     7.322070e+01  7.282495e+01  3.354500e+00    0.26389  0.97569  0.50000
C     7.322070e+01  7.424591e+01  3.354500e+00    0.25694  0.98264  0.50000
C     7.445130e+01  7.495641e+01  3.354500e+00    0.26389  0.99653  0.50000
C     1.661310e+01 -2.806425e+01  3.354500e+00    0.27778  0.00347  0.50000
C     1.784370e+01 -2.735375e+01  3.354500e+00    0.28472  0.01736  0.50000
C     1.784370e+01 -2.593279e+01  3.354500e+00    0.27778  0.02431  0.50000
C     1.907430e+01 -2.522229e+01  3.354500e+00    0.28472  0.03819  0.50000
C     1.907430e+01 -2.380133e+01  3.354500e+00    0.27778  0.04514  0.50000
C     2.030490e+01 -2.309083e+01  3.354500e+00    0.28472  0.05903  0.50000
C     2.030490e+01 -2.166987e+01  3.354500e+00    0.27778  0.06597  0.50000
C     2.153550e+01 -2.095937e+01  3.354500e+00    0.28472  0.07986  0.50000
C     2.153550e+01 -1.953841e+01  3.354500e+00    0.27778  0.08681  0.50000
C     2.276610e+01 -1.882790e+01  3.354500e+00    0.28472  0.10069  0.50000
C     2.276610e+01 -1.740694e+01  3.354500e+00    0.27778  0.10764  0.50000
C     2.399670e+01 -1.669644e+01  3.354500e+00    0.28472  0.12153  0.50000
C     2.399670e+01 -1.527548e+01  3.354500e+00    0.27778  0.12847  0.50000
C     2.522730e+01 -1.456498e+01  3.354500e+00    0.28472  0.14236  0.50000
C     2.522730e+01 -1.314402e+01  3.354500e+00    0.27778  0.14931  0.50000
C     2.645790e+01 -1.243352e+01  3.354500e+00    0.28472  0.16319  0.50000
C     2.645790e+01 -1.101256e+01  3.354500e+00    0.27778  0.17014  0.50000
C     2.768850e+01 -1.030206e+01  3.354500e+00    0.28472  0.18403  0.50000
C     2.768850e+01 -8.881098e+00  3.354500e+00    0.27778  0.19097  0.50000
C     2.891910e+01 -8.170596e+00  3.354500e+00    0.28472  0.20486  0.50000
C     2.891910e+01 -6.749636e+00  3.354500e+00    0.27778  0.21181  0.50000
C     3.014970e+01 -6.039134e+00  3.354500e+00    0.28472  0.22569  0.50000
C     3.014970e+01 -4.618174e+00  3.354500e+00    0.27778  0.23264  0.50000
C     3.138030e+01 -3.907673e+00  3.354500e+00    0.28472  0.24653  0.50000
C     3.138030e+01 -2.486712e+00  3.354500e+00    0.27778  0.25347  0.50000
C     3.261090e+01 -1.776211e+00  3.354500e+00    0.28472  0.26736  0.50000
C     3.261090e+01 -3.552507e-01  3.354500e+00    0.27778  0.27431  0.50000
C     3.384150e+01  3.552507e-01  3.354500e+00    0.28472  0.28819  0.50000
C     3.384150e+01  1.776211e+00  3.354500e+00    0.27778  0.29514  0.50000
C     3.507210e+01  2.486712e+00  3.354500e+00    0.28472  0.30903  0.50000
C     3.507210e+01  3.907673e+00  3.354500e+00    0.27778  0.31597  0.50000
C     3.630270e+01  4.618174e+00  3.354500e+00    0.28472  0.32986  0.50000
C     3.630270e+01  6.039134e+00  3.354500e+00    0.27778  0.33681  0.50000
C     3.753330e+01  6.749636e+00  3.354500e+00    0.28472  0.35069  0.50000
C     3.753330e+01  8.170596e+00  3.354500e+00    0.27778  0.35764  0.50000
C     3.876390e+01  8.881098e+00  3.354500e+00    0.28472  0.37153  0.50000
C     3.876390e+01  1.030206e+01  3.354500e+00    0.27778  0.37847  0.50000
C     3.999450e+01  1.101256e+01  3.354500e+00    0.28472  0.39236  0.50000
C     3.999450e+01  1.243352e+01  3.354500e+00    0.27778  0.39931  0.50000
C     4.122510e+01  1.314402e+01  3.354500e+00    0.28472  0.41319  0.50000
C     4.122510e+01  1.456498e+01  3.354500e+00    0.27778  0.42014  0.50000
C     4.245570e+01  1.527548e+01  3.354500e+00    0.28472  0.43403  0.50000
C     4.245570e+01  1.669644e+01  3.354500e+00    0.27778  0.44097  0.50000
C     4.368630e+01  1.740694e+01  3.354500e+00    0.28472  0.45486  0.50000
C     4.368630e+01  1.882790e+01  3.354500e+00    0.27778  0.46181  0.50000
C     4.491690e+01  1.953841e+01  3.354500e+00    0.28472  0.47569  0.50000
C     4.491690e+01  2.095937e+01  3.354500e+00    0.27778  0.48264  0.50000
C     4.614750e+01  2.166987e+01  3.354500e+00    0.28472  0.49653  0.50000
C     4.614750e+01  2.309083e+01  3.354500e+00    0.27778  0.50347  0.50000
C     4.737810e+01  2.380133e+01  3.354500e+00    0.28472  0.51736  0.50000
C     4.737810e+01  2.522229e+01  3.354500e+00    0.27778  0.52431  0.50000
C     4.860870e+01  2.593279e+01  3.354500e+00    0.28472  0.53819  0.50000
C     4.860870e+01  2.735375e+01  3.354500e+00    0.27778  0.54514  0.50000
C     4.983930e+01  2.806425e+01  3.354500e+00    0.28472  0.55903  0.50000
C     4.983930e+01  2.948521e+01  3.354500e+00    0.27778  0.56597  0.50000
C     5.106990e+01  3.019571e+01  3.354500e+00    0.28472  0.57986  0.50000
C     5.106990e+01  3.161668e+01  3.354500e+00    0.27778  0.58681  0.50000
C     5.230050e+01  3.232718e+01  3.354500e+00    0.28472  0.60069  0.50000
C     5.230050e+01  3.374814e+01  3.354500e+00    0.27778  0.60764  0.50000
C     5.353110e+01  3.445864e+01  3.354500e+00    0.28472  0.62153  0.50000
C     5.353110e+01  3.587960e+01  3.354500e+00    0.27778  0.62847  0.50000
C     5.476170e+01  3.659010e+01  3.354500e+00    0.28472  0.64236  0.50000
C     5.476170e+01  3.801106e+01  3.354500e+00    0.27778  0.64931  0.50000
C     5.599230e+01  3.872156e+01  3.354500e+00    0.28472  0.66319  0.50000
C     5.599230e+01  4.014252e+01  3.354500e+00    0.27778  0.67014  0.50000
C     5.722290e+01  4.085302e+01  3.354500e+00    0.28472  0.68403  0.50000
C     5.722290e+01  4.227398e+01  3.354500e+00    0.27778  0.69097  0.50000
C     5.845350e+01  4.298449e+01  3.354500e+00    0.28472  0.70486  0.50000
C     5.845350e+01  4.440545e+01  3.354500e+00    0.27778  0.71181  0.50000
C     5.968410e+01  4.511595e+01  3.354500e+00    0.28472  0.72569  0.50000
C     5.968410e+01  4.653691e+01  3.354500e+00    0.27778  0.73264  0.50000
C     6.091470e+01  4.724741e+01  3.354500e+00    0.28472  0.74653  0.50000
C     6.091470e+01  4.866837e+01  3.354500e+00    0.27778  0.75347  0.50000
C     6.214530e+01  4.937887e+01  3.354500e+00    0.28472  0.76736  0.50000
C     6.214530e+01  5.079983e+01  3.354500e+00    0.27778  0.77431  0.50000
C     6.337590e+01  5.151033e+01  3.354500e+00    0.28472  0.78819  0.50000
C     6.337590e+01  5.293129e+01  3.354500e+00    0.27778  0.79514  0.50000
C     6.460650e+01  5.364179e+01  3.354500e+00    0.28472  0.80903  0.50000
C     6.460650e+01  5.506275e+01  3.354500e+00    0.27778  0.81597  0.50000
C     6.583710e+01  5.577326e+01  3.354500e+00    0.28472  0.82986  0.50000
C     6.583710e+01  5.719422e+01  3.354500e+00    0.27778  0.83681  0.50000
C     6.706770e+01  5.790472e+01  3.354500e+00    0.28472  0.85069  0.50000
C     6.706770e+01  5.932568e+01  3.354500e+00    0.27778  0.85764  0.50000
C     6.829830e+01  6.003618e+01  3.354500e+00    0.28472  0.87153  0.50000
C     6.829830e+01  6.145714e+01  3.354500e+00    0.27778  0.87847  0.50000
C     6.952890e+01  6.216764e+01  3.354500e+00    0.28472  0.89236  0.50000
C     6.952890e+01  6.358860e+01  3.354500e+00    0.27778  0.89931  0.50000
C     7.075950e+01  6.429910e+01  3.354500e+00    0.28472  0.91319  0.50000
C     7.075950e+01  6.572006e+01  3.354500e+00    0.27778  0.92014  0.50000
C     7.199010e+01  6.643056e+01  3.354500e+00    0.28472  0.93403  0.50000
C     7.199010e+01  6.785152e+01  3.354500e+00    0.27778  0.94097  0.50000
C     7.322070e+01  6.856203e+01  3.354500e+00    0.28472  0.95486  0.50000
C     7.322070e+01  6.998299e+01  3.354500e+00    0.27778  0.96181  0.50000
C     7.445130e+01  7.069349e+01  3.354500e+00    0.28472  0.97569  0.50000
C     7.445130e+01  7.211445e+01  3.354500e+00    0.27778  0.98264  0.50000
C     7.568190e+01  7.282495e+01  3.354500e+00    0.28472  0.99653  0.50000
C     1.784370e+01 -3.019571e+01  3.354500e+00    0.29861  0.00347  0.50000
C     1.907430e+01 -2.948521e+01  3.354500e+00    0.30556  0.01736  0.50000
C     1.907430e+01 -2.806425e+01  3.354500e+00    0.29861  0.02431  0.50000
C     2.030490e+01 -2.735375e+01  3.354500e+00    0.30556  0.03819  0.50000
C     2.030490e+01 -2.593279e+01  3.354500e+00    0.29861  0.04514  0.50000
C     2.153550e+01 -2.522229e+01  3.354500e+00    0.30556  0.05903  0.50000
C     2.153550e+01 -2.380133e+01  3.354500e+00    0.29861  0.06597  0.50000
C     2.276610e+01 -2.309083e+01  3.354500e+00    0.30556  0.07986  0.50000
C     2.276610e+01 -2.166987e+01  3.354500e+00    0.29861  0.08681  0.50000
C     2.399670e+01 -2.095937e+01  3.354500e+00    0.30556  0.10069  0.50000
C     2.399670e+01 -1.953841e+01  3.354500e+00    0.29861  0.10764  0.50000
C     2.522730e+01 -1.882790e+01  3.354500e+00    0.30556  0.12153  0.50000
C     2.522730e+01 -1.740694e+01  3.354500e+00    0.29861  0.12847  0.50000
C     2.645790e+01 -1.669644e+01  3.354500e+00    0.30556  0.14236  0.50000
C     2.645790e+01 -1.527548e+01  3.354500e+00    0.29861  0.14931  0.50000
C     2.768850e+01 -1.456498e+01  3.354500e+00    0.30556  0.16319  0.50000
C     2.768850e+01 -1.314402e+01  3.354500e+00    0.29861  0.17014  0.50000
C     2.891910e+01 -1.243352e+01  3.354500e+00    0.30556  0.18403  0.50000
C     2.891910e+01 -1.101256e+01  3.354500e+00    0.29861  0.19097  0.50000
C     3.014970e+01 -1.030206e+01  3.354500e+00    0.30556  0.20486  0.50000
C     3.014970e+01 -8.881098e+00  3.354500e+00    0.29861  0.21181  0.50000
C     3.138030e+01 -8.170596e+00  3.354500e+00    0.30556  0.22569  0.50000
C     3.138030e+01 -6.749636e+00  3.354500e+00    0.29861  0.23264  0.50000
C     3.261090e+01 -6.039134e+00  3.354500e+00    0.30556  0.24653  0.50000
C     3.261090e+01 -4.618174e+00  3.354500e+00    0.29861  0.25347  0.50000
C     3.384150e+01 -3.907673e+00  3.354500e+00    0.30556  0.26736  0.50000
C     3.384150e+01 -2.486712e+00  3.354500e+00    0.29861  0.27431  0.50000
C     3.507210e+01 -1.776211e+00  3.354500e+00    0.30556  0.28819  0.50000
C     3.507210e+01 -3.552507e-01  3.354500e+00    0.29861  0.29514  0.50000
C     3.630270e+01  3.552507e-01  3.354500e+00    0.30556  0.30903  0.50000
C     3.630270e+01  1.776211e+00  3.354500e+00    0.29861  0.31597  0.50000
C     3.753330e+01  2.486712e+00  3.354500e+00    0.30556  0.32986  0.50000
C     3.753330e+01  3.907673e+00  3.354500e+00    0.29861  0.33681  0.50000
C     3.876390e+01  4.618174e+00  3.354500e+00    0.30556  0.35069  0.50000
C     3.876390e+01  6.039134e+00  3.354500e+00    0.29861  0.35764  0.50000
C     3.999450e+01  6.749636e+00  3.354500e+00    0.30556  0.37153  0.50000
C     3.999450e+01  8.170596e+00  3.354500e+00    0.29861  0.37847  0.50000
C     4.122510e+01  8.881098e+00  3.354500e+00    0.30556  0.39236  0.50000
C     4.122510e+01  1.030206e+01  3.354500e+00    0.29861  0.39931  0.50000
C     4.245570e+01  1.101256e+01  3.354500e+00    0.30556  0.41319  0.50000
C     4.245570e+01  1.243352e+01  3.354500e+00    0.29861  0.42014  0.50000
C     4.368630e+01  1.314402e+01  3.354500e+00    0.30556  0.43403  0.50000
C     4.368630e+01  1.456498e+01  3.354500e+00    0.29861  0.44097  0.50000
C     4.491690e+01  1.527548e+01  3.354500e+00    0.30556  0.45486  0.50000
C     4.491690e+01  1.669644e+01  3.354500e+00    0.29861  0.46181  0.50000
C     4.614750e+01  1.740694e+01  3.354500e+00    0.30556  0.47569  0.50000
C     4.614750e+01  1.882790e+01  3.354500e+00    0.29861  0.48264  0.50000
C     4.737810e+01  1.953841e+01  3.354500e+00    0.30556  0.49653  0.50000
C     4.737810e+01  2.095937e+01  3.354500e+00    0.29861  0.50347  0.50000
C     4.860870e+01  2.166987e+01  3.354500e+00    0.30556  0.51736  0.50000
C     4.860870e+01  2.309083e+01  3.354500e+00    0.29861  0.52431  0.50000
C     4.983930e+01  2.380133e+01  3.354500e+00    0.30556  0.53819  0.50000
C     4.983930e+01  2.522229e+01  3.354500e+00    0.29861  0.54514  0.50000
C     5.106990e+01  2.593279e+01  3.354500e+00    0.30556  0.55903  0.50000
C     5.106990e+01  2.735375e+01  3.354500e+00    0.29861  0.56597  0.50000
C     5.230050e+01  2.806425e+01  3.354500e+00    0.30556  0.57986  0.50000
C     5.230050e+01  2.948521e+01  3.354500e+00    0.29861  0.58681  0.50000
